340, 238
340, 239
340, 239
340, 238
341, 237
341, 237
340, 235
340, 236
340, 236
341, 236
341, 236
342, 239
342, 239
342, 240
338, 241
338, 241
338, 241
338, 241
338, 241
339, 242
339, 242
344, 244
344, 245
347, 245
347, 245
349, 245
351, 244
351, 244
350, 244
350, 244
351, 243
351, 243
352, 241
350, 238
350, 238
350, 237
350, 237
350, 237
351, 238
351, 238
351, 238
351, 238
351, 238
344, 239
343, 239
343, 239
342, 238
342, 238
342, 239
338, 240
338, 240
335, 240
335, 240
335, 240
335, 240
334, 241
335, 242
335, 242
334, 242
334, 243
334, 243
333, 243
334, 242
336, 245
337, 245
338, 245
346, 243
348, 243
349, 243
349, 243
350, 243
349, 243
349, 242
349, 243
352, 243
352, 243
348, 245
348, 246
348, 246
348, 247
348, 247
343, 245
339, 245
342, 244
