270, 202
269, 202
268, 203
259, 211
258, 210
255, 209
256, 210
266, 200
267, 201
269, 199
268, 201
270, 201
271, 202
272, 202
271, 202
270, 202
270, 202
271, 202
272, 202
272, 201
272, 203
271, 203
272, 204
271, 203
272, 202
271, 202
271, 202
294, 201
297, 200
298, 199
298, 198
300, 197
315, 201
315, 201
316, 199
314, 198
304, 196
301, 196
294, 196
293, 197
294, 198
291, 198
289, 198
286, 198
283, 198
274, 198
268, 199
269, 198
267, 200
268, 199
266, 199
265, 200
258, 206
257, 208
254, 206
256, 209
253, 207
254, 207
251, 209
252, 212
253, 209
253, 208
252, 208
254, 208
250, 211
251, 210
252, 210
254, 210
256, 208
256, 208
258, 208
254, 210
256, 209
256, 210
257, 208
257, 211
257, 210
266, 203
267, 206
255, 211
257, 209
256, 208
267, 205
267, 204
269, 204
271, 204
271, 205
270, 207
264, 210
257, 219
254, 218
255, 217
257, 219
271, 213
272, 213
271, 213
272, 211
271, 212
271, 211
271, 210
271, 210
269, 210
269, 209
266, 209
255, 215
253, 214
250, 213
248, 213
248, 213
248, 213
247, 214
253, 211
254, 210
248, 213
247, 215
247, 212
250, 213
